Continent,Happiness_Score,Year
Africa,4530.68,2018
Asia,5167.54,2018
Australasia,7298,2018
Europe,6089.63,2018
North America,7107,2018
South America,5918.7,2018
Africa,4649.35,2019
Asia,5211.81,2019
Australasia,7267.5,2019
Europe,6192.11,2019
North America,7085,2019
South America,5942.55,2019
Africa,4645.58,2020
Asia,5249.43,2020
Australasia,7261.2,2020
Europe,6256.48,2020
North America,7085.85,2020
South America,5981.79,2020
Africa,4727.11,2021
Asia,5304.04,2021
Australasia,7230,2021
Europe,6333.36,2021
North America,7027,2021
South America,5908.05,2021
Africa,4726.38,2022
Asia,5337.33,2022
Australasia,6417.67,2022
Europe,6377.55,2022
North America,7001,2022
South America,5826.4,2022
